02-10-2021 00:58:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:58:37 Se graban todos los datos correctamente
02-10-2021 00:59:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:59:07 Se graban todos los datos correctamente
02-10-2021 00:59:37 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 00:59:37 Se graban todos los datos correctamente
02-10-2021 01:00:07 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:00:07 Se graban todos los datos correctamente
02-10-2021 01:00:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:00:37 Se graban todos los datos correctamente
02-10-2021 01:01:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:01:07 Se graban todos los datos correctamente
02-10-2021 01:01:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:01:37 Se graban todos los datos correctamente
02-10-2021 01:02:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:02:07 Se graban todos los datos correctamente
02-10-2021 01:02:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:02:37 Se graban todos los datos correctamente
02-10-2021 01:03:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:03:07 Se graban todos los datos correctamente
02-10-2021 01:03:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:03:37 Se graban todos los datos correctamente
02-10-2021 01:04:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:04:07 Se graban todos los datos correctamente
02-10-2021 01:04:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:04:37 Se graban todos los datos correctamente
02-10-2021 01:05:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:05:07 Se graban todos los datos correctamente
02-10-2021 01:05:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:05:37 Se graban todos los datos correctamente
02-10-2021 01:06:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:06:07 Se graban todos los datos correctamente
02-10-2021 01:06:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:06:37 Se graban todos los datos correctamente
02-10-2021 01:07:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:07:07 Se graban todos los datos correctamente
02-10-2021 01:07:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:07:37 Se graban todos los datos correctamente
02-10-2021 01:08:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:08:07 Se graban todos los datos correctamente
02-10-2021 01:08:36 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:08:37 Se graban todos los datos correctamente
02-10-2021 01:09:06 El dispositivo responde -> operationalStatus: CONNECTED
02-10-2021 01:09:07 Se graban todos los datos correctamente
