fecha;pm25;pm10;co2;humedad;temperatura;t_terabee;presencia; 
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:51:13;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:51:13;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:52:13;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:52:13;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:53:13;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:53:13;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:54:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:54:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:55:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:55:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:56:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:56:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:57:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:57:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:58:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:58:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:59:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 03:59:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:00:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:00:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:01:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:01:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:02:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:02:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:03:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:03:14;-1.0;
09-11-2021 15:14:14;8.0;9.0;948.6846;44.452583;24.973297;10-11-2021 04:04:14;-1.0;
